dataset,unlearn_type,model_id,model_path,lora_rank,lora_layer_budget_k,lr,epochs,retain_coeff,steering_coeff,forget_acc_baseline,retain_acc_baseline,forget_acc_unlearn,forget_acc_unlearn_rtt,forget_acc_baseline_rtt,retain_acc_unlearn,retain_acc_unlearn_rtt,retain_acc_baseline_rtt,recovery_rate,rtt_signature,acc_selection_rule,num_rtt_splits_b,num_rtt_splits_c,loss_type,skip_split
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,32,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,63.250826412964614,67.68201241635087,70.21365798597114,67.13375796178343,64.5859872611465,66.7515923566879,0.9639436878487929,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,64,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,62.36394420704667,66.03079900024188,70.21365798597114,67.00636942675159,63.43949044585988,66.7515923566879,0.9404267046367959,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,16,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,63.25163266951543,69.07522373619287,70.21365798597114,67.13375796178343,66.11464968152866,66.7515923566879,0.983786142433916,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,128,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,58.81238410062082,64.76497621543176,70.21365798597114,66.2420382165605,65.60509554140127,66.7515923566879,0.9223985485611924,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,8,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,63.63057324840764,69.19938724502137,70.21365798597114,67.0063694267516,66.36942675159234,66.7515923566879,0.9855545093355993,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank96-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,96,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,61.22067241796341,65.90744174796421,70.21365798597114,65.9872611464968,65.35031847133759,66.7515923566879,0.9386698206370715,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank12-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,12,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,63.88454406192049,69.96129968555995,70.21365798597114,67.0063694267516,66.11464968152866,66.7515923566879,0.9964058516868384,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank48-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,48,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,62.87027332097074,66.91929371926146,70.21365798597114,66.87898089171973,63.31210191082802,66.7515923566879,0.953080862595595,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank24-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,24,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,62.99685559945174,67.93840199951624,70.21365798597114,67.38853503184713,65.73248407643312,66.7515923566879,0.9675952506717497,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank4-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,4,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,63.75876803999032,70.46682254293314,70.21365798597114,66.75159235668791,66.2420382165605,66.7515923566879,1.0036056312151205,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
YEARS,LORA,Qwen/Qwen2.5-3B-Instruct,models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank2-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,2,,4e-07,6,0.001,20,63.8845440619205,66.7515923566879,64.01193259695235,69.32677578005323,70.21365798597114,66.62420382165605,66.62420382165604,66.7515923566879,0.9873688078451187,19b497ef72a6,final_epoch,1,1,QUESTION_LETTER_ANSWER,4
