model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,overall_acc,ordering_count,arithmetic_count,classification_count,total_count,timestamp,start_time_sf
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,0,BASELINE,YEAR_CONCEPT,0.99,0.31,0.93,0.7433333333333333,100,100,100,300,2025-12-29-15-10-02,2025-12-29-07-10-02
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,16,A,YEAR_CONCEPT,0.99,0.26,0.88,0.71,100,100,100,300,2025-12-29-15-10-08,2025-12-29-07-10-08
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,32,A,YEAR_CONCEPT,0.99,0.28,0.88,0.7166666666666667,100,100,100,300,2025-12-29-15-10-15,2025-12-29-07-10-15
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,64,A,YEAR_CONCEPT,0.99,0.29,0.84,0.7066666666666667,100,100,100,300,2025-12-29-15-10-21,2025-12-29-07-10-21
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,8,A,YEAR_CONCEPT,0.99,0.27,0.89,0.7166666666666667,100,100,100,300,2025-12-29-15-10-28,2025-12-29-07-10-28
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,128,A,YEAR_CONCEPT,0.99,0.3,0.81,0.7,100,100,100,300,2025-12-29-15-10-34,2025-12-29-07-10-34
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,32,B,YEAR_CONCEPT,0.99,0.33,0.9,0.74,100,100,100,300,2025-12-29-15-10-47,2025-12-29-07-10-47
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,64,B,YEAR_CONCEPT,0.98,0.28,0.9,0.72,100,100,100,300,2025-12-29-15-11-00,2025-12-29-07-11-00
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,16,B,YEAR_CONCEPT,1.0,0.3,0.9,0.7333333333333333,100,100,100,300,2025-12-29-15-11-14,2025-12-29-07-11-14
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,128,B,YEAR_CONCEPT,0.98,0.28,0.89,0.7166666666666667,100,100,100,300,2025-12-29-15-11-27,2025-12-29-07-11-27
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,8,B,YEAR_CONCEPT,1.0,0.3,0.9,0.7333333333333333,100,100,100,300,2025-12-29-15-11-39,2025-12-29-07-11-39
models/2025-12-28_05-13-18/baseline_rtt/YEARS/Qwen_Qwen2.5-3B-Instruct/QUESTION_LETTER_ANSWER/skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,0,C,YEAR_CONCEPT,0.99,0.35,0.9,0.7466666666666667,100,100,100,300,2025-12-29-15-11-53,2025-12-29-07-11-53
