model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,boundary_acc,overall_acc,ordering_count,arithmetic_count,classification_count,boundary_count,total_count,timestamp,start_time_sf
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,0,BASELINE,YEAR_CONCEPT,0.99,0.31,0.93,0.82,0.7625,100,100,100,100,400,2025-12-29-17-47-29,2025-12-29-09-47-29
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,16,A,YEAR_CONCEPT,0.99,0.26,0.88,0.55,0.67,100,100,100,100,400,2025-12-29-17-47-39,2025-12-29-09-47-39
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,32,A,YEAR_CONCEPT,0.99,0.28,0.88,0.59,0.685,100,100,100,100,400,2025-12-29-17-47-50,2025-12-29-09-47-50
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,64,A,YEAR_CONCEPT,0.99,0.29,0.84,0.57,0.6725,100,100,100,100,400,2025-12-29-17-48-01,2025-12-29-09-48-01
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,8,A,YEAR_CONCEPT,0.99,0.27,0.89,0.55,0.675,100,100,100,100,400,2025-12-29-17-48-12,2025-12-29-09-48-12
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,128,A,YEAR_CONCEPT,0.99,0.3,0.81,0.56,0.665,100,100,100,100,400,2025-12-29-17-48-23,2025-12-29-09-48-23
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,32,B,YEAR_CONCEPT,0.99,0.33,0.9,0.97,0.7975,100,100,100,100,400,2025-12-29-17-48-43,2025-12-29-09-48-43
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,64,B,YEAR_CONCEPT,0.98,0.28,0.9,0.97,0.7825,100,100,100,100,400,2025-12-29-17-49-03,2025-12-29-09-49-03
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,16,B,YEAR_CONCEPT,1.0,0.3,0.9,0.98,0.795,100,100,100,100,400,2025-12-29-17-49-22,2025-12-29-09-49-22
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,128,B,YEAR_CONCEPT,0.98,0.28,0.89,0.98,0.7825,100,100,100,100,400,2025-12-29-17-49-42,2025-12-29-09-49-42
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,8,B,YEAR_CONCEPT,1.0,0.3,0.9,0.99,0.7975,100,100,100,100,400,2025-12-29-17-50-03,2025-12-29-09-50-03
models/2025-12-28_05-13-18/baseline_rtt/YEARS/Qwen_Qwen2.5-3B-Instruct/QUESTION_LETTER_ANSWER/skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,0,C,YEAR_CONCEPT,0.99,0.35,0.9,1.0,0.81,100,100,100,100,400,2025-12-29-17-50-21,2025-12-29-09-50-21
